VISITID,VISITSEQ,PAGEID,PAGESEQ,USERTYPE,EAMNUM,SUBNUM
1234,10,100,1,X,94,ABC 1234 094
1234,10,100,1,X,95,ABC 1234 095
1234,10,100,1,X,96,ABC 1234 096
1234,10,100,1,X,97,ABC 1234 097
1234,10,100,1,X,98,ABC 1234 098
1234,10,100,1,X,99,ABC 1234 099
1234,10,100,1,X,100,ABC 1234 100
1234,10,100,1,X,101,ABC 1234 101
1234,10,100,1,X,102,ABC 1234 102
1234,10,100,1,X,103,ABC 1234 103
1234,10,100,1,X,104,ABC 1234 104
1234,10,100,1,X,105,ABC 1234 105
1234,10,100,1,X,106,ABC 1234 106
1234,10,100,1,X,107,ABC 1234 107
1234,10,100,1,X,108,ABC 1234 108
1234,10,100,1,X,109,ABC 1234 109
1234,10,100,1,X,110,ABC 1234 110
1234,10,100,1,X,111,ABC 1234 111
1234,10,100,1,X,112,ABC 1234 112
1234,10,100,1,X,113,ABC 1234 113
1234,10,100,1,X,114,ABC 1234 114
1234,10,100,1,X,115,ABC 1234 115
1234,10,100,1,X,116,ABC 1234 116
1234,10,100,1,X,117,ABC 1234 117
1234,10,100,1,X,118,ABC 1234 118
1234,10,100,1,X,119,ABC 1234 119
1234,10,100,1,X,120,ABC 1234 120
1234,10,100,1,X,121,ABC 1234 121
1234,10,100,1,X,122,ABC 1234 122
1234,10,100,1,X,123,ABC 1234 123
1234,10,100,1,X,124,ABC 1234 124
1234,10,100,1,X,125,ABC 1234 125
1234,10,100,1,X,126,ABC 1234 126
1234,10,100,1,X,127,ABC 1234 127
1234,10,100,1,X,128,ABC 1234 128
1234,10,100,1,X,129,ABC 1234 129
1234,10,100,1,X,130,ABC 1234 130
1234,10,100,1,X,131,ABC 1234 131
1234,10,100,1,X,132,ABC 1234 132
1234,10,100,1,X,133,ABC 1234 133
1234,10,100,1,X,134,ABC 1234 134
1234,10,100,1,X,135,ABC 1234 135
1234,10,100,1,X,136,ABC 1234 136
1234,10,100,1,X,137,ABC 1234 137
1234,10,100,1,X,138,ABC 1234 138
1234,10,100,1,X,139,ABC 1234 139
1234,10,100,1,X,140,ABC 1234 140
1234,10,100,1,X,141,ABC 1234 141
1234,10,100,1,X,142,ABC 1234 142
1234,10,100,1,X,143,ABC 1234 143
1234,10,100,1,X,144,ABC 1234 144
1234,10,100,1,X,145,ABC 1234 145
1234,10,100,1,X,146,ABC 1234 146
1234,10,100,1,X,147,ABC 1234 147
1234,10,100,1,X,148,ABC 1234 148
1234,10,100,1,X,149,ABC 1234 149
1234,10,100,1,X,150,ABC 1234 150
1234,10,100,1,X,151,ABC 1234 151
1234,10,100,1,X,152,ABC 1234 152
1234,10,100,1,X,153,ABC 1234 153
1234,10,100,1,X,154,ABC 1234 154
1234,10,100,1,X,155,ABC 1234 155
1234,10,100,1,X,156,ABC 1234 156
1234,10,100,1,X,157,ABC 1234 157
1234,10,100,1,X,158,ABC 1234 158
1234,10,100,1,X,159,ABC 1234 159
1234,10,100,1,X,160,ABC 1234 160
1234,10,100,1,X,161,ABC 1234 161
1234,10,100,1,X,162,ABC 1234 162
1234,10,100,1,X,163,ABC 1234 163
1234,10,100,1,X,164,ABC 1234 164
1234,10,100,1,X,165,ABC 1234 165
1234,10,100,1,X,166,ABC 1234 166
1234,10,100,1,X,167,ABC 1234 167
1234,10,100,1,X,168,ABC 1234 168
1234,10,100,1,X,169,ABC 1234 169
1234,10,100,1,X,170,ABC 1234 170
1234,10,100,1,X,171,ABC 1234 171
1234,10,100,1,X,172,ABC 1234 172
1234,10,100,1,X,173,ABC 1234 173
1234,10,100,1,X,174,ABC 1234 174
1234,10,100,1,X,175,ABC 1234 175
1234,10,100,1,X,176,ABC 1234 176
1234,10,100,1,X,177,ABC 1234 177
1234,10,100,1,X,178,ABC 1234 178
1234,10,100,1,X,179,ABC 1234 179
1234,10,100,1,X,180,ABC 1234 180
1234,10,100,1,X,181,ABC 1234 181
1234,10,100,1,X,182,ABC 1234 182
1234,10,100,1,X,183,ABC 1234 183
1234,10,100,1,X,184,ABC 1234 184
1234,10,100,1,X,185,ABC 1234 185
1234,10,100,1,X,186,ABC 1234 186
1234,10,100,1,X,187,ABC 1234 187
1234,10,100,1,X,188,ABC 1234 188
1234,10,100,1,X,189,ABC 1234 189
1234,10,100,1,X,190,ABC 1234 190
1234,10,100,1,X,191,ABC 1234 191
1234,10,100,1,X,192,ABC 1234 192
1234,10,100,1,X,193,ABC 1234 193
1234,10,100,1,X,194,ABC 1234 194
1234,10,100,1,X,195,ABC 1234 195
1234,10,100,1,X,196,ABC 1234 196
1234,10,100,1,X,197,ABC 1234 197
1234,10,100,1,X,198,ABC 1234 198
1234,10,100,1,X,199,ABC 1234 199
1235,10,100,,X,200,ABC 1234 200
1236,10,100,,X,201,ABC 1234 201
1237,10,100,,X,202,ABC 1234 202
1238,10,100,,X,203,ABC 1234 203
1239,10,100,,X,204,ABC 1234 204
1240,10,100,,X,205,ABC 1234 205
1241,10,100,,X,206,ABC 1234 206
1242,10,100,,X,207,ABC 1234 207
1243,10,100,,X,208,ABC 1234 208
1244,10,100,,X,209,ABC 1234 209
1245,10,100,,X,210,ABC 1234 210
1246,10,100,,X,211,ABC 1234 211
1247,10,100,,X,212,ABC 1234 212
1248,10,100,,X,213,ABC 1234 213
1249,10,100,,X,214,ABC 1234 214
1250,10,100,,X,215,ABC 1234 215
1251,10,100,,X,216,ABC 1234 216
1252,10,100,,X,217,ABC 1234 217
1253,10,100,,X,218,ABC 1234 218
1254,10,100,,X,219,ABC 1234 219
1255,10,100,,X,220,ABC 1234 220
1256,10,100,,X,221,ABC 1234 221
1257,10,100,,X,222,ABC 1234 222
1258,10,100,,X,223,ABC 1234 223
1259,10,100,,X,224,ABC 1234 224
1260,10,100,,X,225,ABC 1234 225
1261,10,100,,X,226,ABC 1234 226
1262,10,100,,X,227,ABC 1234 227
1263,10,100,,X,228,ABC 1234 228
1264,10,100,,X,229,ABC 1234 229
1265,10,100,,X,230,ABC 1234 230
1266,10,100,,X,231,ABC 1234 231
1267,10,100,,X,232,ABC 1234 232
1268,10,100,,X,233,ABC 1234 233
1269,10,100,,X,234,ABC 1234 234
1270,10,100,,X,235,ABC 1234 235
1271,10,100,,X,236,ABC 1234 236
1272,10,100,,X,237,ABC 1234 237
1273,10,100,,X,238,ABC 1234 238
1274,10,100,,X,239,ABC 1234 239
1275,10,100,,X,240,ABC 1234 240
1276,10,100,,X,241,ABC 1234 241
1277,10,100,,X,242,ABC 1234 242
1278,10,100,,X,243,ABC 1234 243
1279,10,100,,X,244,ABC 1234 244
1280,10,100,,X,245,ABC 1234 245
1281,10,100,,X,246,ABC 1234 246
1282,10,100,,X,247,ABC 1234 247
1283,10,100,,X,248,ABC 1234 248
1284,10,100,,X,249,ABC 1234 249
1285,10,100,,X,250,ABC 1234 250
1286,10,100,,X,251,ABC 1234 251
1287,10,100,,X,252,ABC 1234 252
1288,10,100,,X,253,ABC 1234 253
1289,10,100,,X,254,ABC 1234 254
1290,10,100,,X,255,ABC 1234 255
1291,10,100,,X,256,ABC 1234 256
1292,10,100,,X,257,ABC 1234 257
1293,10,100,,X,258,ABC 1234 258
1294,10,100,,X,259,ABC 1234 259
1295,10,100,,X,260,ABC 1234 260
1296,10,100,,X,261,ABC 1234 261
1297,10,100,,X,262,ABC 1234 262
1298,10,100,,X,263,ABC 1234 263
1299,10,100,,X,264,ABC 1234 264
1300,10,100,,X,265,ABC 1234 265
1301,10,100,,X,266,ABC 1234 266
1302,10,100,,X,267,ABC 1234 267
1303,10,100,,X,268,ABC 1234 268
1304,10,100,,X,269,ABC 1234 269
1305,10,100,,X,270,ABC 1234 270
1306,10,100,,X,271,ABC 1234 271
1307,10,100,,X,272,ABC 1234 272
1308,10,100,,X,273,ABC 1234 273
1309,10,100,,X,274,ABC 1234 274
1310,10,100,,X,275,ABC 1234 275
1311,10,100,,X,276,ABC 1234 276
1312,10,100,,X,277,ABC 1234 277
1313,10,100,,X,278,ABC 1234 278
1314,10,100,,X,279,ABC 1234 279
1315,10,100,,X,280,ABC 1234 280
1316,10,100,,X,281,ABC 1234 281
1317,10,100,,X,282,ABC 1234 282
1318,10,100,,X,283,ABC 1234 283
1319,10,100,,X,284,ABC 1234 284
1320,10,100,,X,285,ABC 1234 285
1321,10,100,,X,286,ABC 1234 286
1322,10,100,,X,287,ABC 1234 287
1323,10,100,,X,288,ABC 1234 288
1324,10,100,,X,289,ABC 1234 289
1325,10,100,,X,290,ABC 1234 290
1326,10,100,,X,291,ABC 1234 291
1327,10,100,,X,292,ABC 1234 292
1328,10,100,,X,293,ABC 1234 293
1329,10,100,,X,294,ABC 1234 294
1330,10,100,,X,295,ABC 1234 295
1331,10,100,,X,296,ABC 1234 296
1332,10,100,,X,297,ABC 1234 297
1333,10,100,,X,298,ABC 1234 298
1334,10,100,,X,299,ABC 1234 299
1335,10,100,,X,300,ABC 1234 300
1336,10,100,,X,301,ABC 1234 301
1337,10,100,,X,302,ABC 1234 302
1338,10,100,,X,303,ABC 1234 303
1339,10,100,,X,304,ABC 1234 304
1340,10,100,,X,305,ABC 1234 305
1341,10,100,,X,306,ABC 1234 306
1342,10,100,,X,307,ABC 1234 307
1343,10,100,,X,308,ABC 1234 308
1344,10,100,,X,309,ABC 1234 309
1345,10,100,,X,310,ABC 1234 310
1346,10,100,,X,311,ABC 1234 311
1347,10,100,,X,312,ABC 1234 312
1348,10,100,,X,313,ABC 1234 313
1349,10,100,,X,314,ABC 1234 314
1350,10,100,,X,315,ABC 1234 315
1351,10,100,,X,316,ABC 1234 316
1352,10,100,,X,317,ABC 1234 317
1353,10,100,,X,318,ABC 1234 318
1354,10,100,,X,319,ABC 1234 319
1355,10,100,,X,320,ABC 1234 320
1356,10,100,,X,321,ABC 1234 321
1357,10,100,,X,322,ABC 1234 322
1358,10,100,,X,323,ABC 1234 323
1359,10,100,,X,324,ABC 1234 324
1360,10,100,,X,325,ABC 1234 325
1361,10,100,,X,326,ABC 1234 326
1362,10,100,,X,327,ABC 1234 327
1363,10,100,,X,328,ABC 1234 328
1364,10,100,,X,329,ABC 1234 329
1365,10,100,,X,330,ABC 1234 330
1366,10,100,,X,331,ABC 1234 331
1367,10,100,,X,332,ABC 1234 332
1368,10,100,,X,333,ABC 1234 333
1369,10,100,,X,334,ABC 1234 334
1370,10,100,,X,335,ABC 1234 335
1371,10,100,,X,336,ABC 1234 336
1372,10,100,,X,337,ABC 1234 337
1373,10,100,,X,338,ABC 1234 338
1374,10,100,,X,339,ABC 1234 339
1375,10,100,,X,340,ABC 1234 340
1376,10,100,,X,341,ABC 1234 341
1377,10,100,,X,342,ABC 1234 342
1378,10,100,,X,343,ABC 1234 343
1379,10,100,,X,344,ABC 1234 344
1380,10,100,,X,345,ABC 1234 345
1381,10,100,,X,346,ABC 1234 346
1382,10,100,,X,347,ABC 1234 347
1383,10,100,,X,348,ABC 1234 348
1384,10,100,,X,349,ABC 1234 349
1385,10,100,,X,350,ABC 1234 350
1386,10,100,,X,351,ABC 1234 351
1387,10,100,,X,352,ABC 1234 352
1388,10,100,,X,353,ABC 1234 353
1389,10,100,,X,354,ABC 1234 354
1390,10,100,,X,355,ABC 1234 355
1391,10,100,,X,356,ABC 1234 356
1392,10,100,,X,357,ABC 1234 357
1393,10,100,,X,358,ABC 1234 358
1394,10,100,,X,359,ABC 1234 359
1395,10,100,,X,360,ABC 1234 360
1396,10,100,,X,361,ABC 1234 361
1397,10,100,,X,362,ABC 1234 362
1398,10,100,,X,363,ABC 1234 363
1399,10,100,,X,364,ABC 1234 364
1400,10,100,,X,365,ABC 1234 365
1401,10,100,,X,366,ABC 1234 366
1402,10,100,,X,367,ABC 1234 367
1403,10,100,,X,368,ABC 1234 368
1404,10,100,,X,369,ABC 1234 369
1405,10,100,,X,370,ABC 1234 370
1406,10,100,,X,371,ABC 1234 371
1407,10,100,,X,372,ABC 1234 372
1408,10,100,,X,373,ABC 1234 373
1409,10,100,,X,374,ABC 1234 374
1410,10,100,,X,375,ABC 1234 375
1411,10,100,,X,376,ABC 1234 376
1412,10,100,,X,377,ABC 1234 377
1413,10,100,,X,378,ABC 1234 378
1414,10,100,,X,379,ABC 1234 379
1415,10,100,,X,380,ABC 1234 380
1416,10,100,,X,381,ABC 1234 381
1417,10,100,,X,382,ABC 1234 382
1418,10,100,,X,383,ABC 1234 383
1419,10,100,,X,384,ABC 1234 384
1420,10,100,,X,385,ABC 1234 385
1421,10,100,,X,386,ABC 1234 386
1422,10,100,,X,387,ABC 1234 387
1423,10,100,,X,388,ABC 1234 388
1424,10,100,,X,389,ABC 1234 389
1425,10,100,,X,390,ABC 1234 390
1426,10,100,,X,391,ABC 1234 391
1427,10,100,,X,392,ABC 1234 392
1428,10,100,,X,393,ABC 1234 393
1429,10,100,,X,394,ABC 1234 394
1430,10,100,,X,395,ABC 1234 395
1431,10,100,,X,396,ABC 1234 396
1432,10,100,,X,397,ABC 1234 397
1433,10,100,,X,398,ABC 1234 398
,10,100,,X,399,ABC 1234 399
